UniprotID,taxonomy_group,source_signature,TaxID,organism_name,sequence_sha256,sequence_length,esm_shape,p2rank_pocket_residue_count,p2rank_top_pocket_score,gvp_available,same_pocket_for_esm_node_and_gvp,loader_validation_status,dataset0_constructed,evidence_tier,formal_assets_mutated,production_pool_mutated,production_d4_mutated,deduplication_status,split,inclusion_status,exclusion_reason,source_status_table,source_asset_manifest,c8_2a_source_universe_class,c8_2a_c8_trait_annotation_eligible,c8_2a_expansion_status,c8_2a_inside_original_2478_universe,c8_1_lookup_index_available,c8_1_bacdive_lookup_available
A8A8G1,target_archaea,proteome:UP000000262,453591,Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125),df4cbcdce55adc8437f99e7c3049488a61032c46afb184901caadacef52dda4e,102,"[9, 2560]",9,2.19,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q6L0M1,target_archaea,proteome:UP000000438,1122961,Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3),2cc889509cb34db784a0aa2159f770b69bf26e38d7a9469c68ca0233490cb72e,397,"[91, 2560]",91,123.12,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q5JE27,target_archaea,proteome:UP000000536,69014,Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1)),6b8b87fe2246b560a7a534ec2ca8b1a69c02e6e8a397ee3a627180489b7c02c3,395,"[85, 2560]",85,137.88,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
O57920,target_archaea,proteome:UP000000752,70601,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),847da16fb2f8ad299c973a4f68b9cfba76a3c9e4332da39c653e553199ff0144,393,"[89, 2560]",89,149.16,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q8U4J0,target_archaea,proteome:UP000001013,186497,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),af121dd0d0bdc33db8b9d696a053657a3c180f2892b8d8bcfc601da36a35f03e,393,"[86, 2560]",86,153.29,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q96YR7,target_archaea,proteome:UP000001015,273063,Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii),093d86cf4bba881b94c29aa485a029f79785881f18424cc7dca446fa4766dbb7,495,"[13, 2560]",13,7.04,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q979Y7,target_archaea,proteome:UP000001017,273116,Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1),ccb8bbd3b13b269b8c0f3648553960a1110d5092f014af686df30b35d5f95129,396,"[81, 2560]",81,118.64,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q4J8R1,target_archaea,proteome:UP000001018,330779,Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),599d79310ec23c778d237f1bab50ccc689a4391422729c4b4332423238d84095,876,"[33, 2560]",33,28.85,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q9HKS9,target_archaea,proteome:UP000001024,273075,Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165),9061ad4622807db5d9e6989e02eaed950a40541d0a1122049230524945809c26,396,"[87, 2560]",87,128.33,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
C5A6E5,target_archaea,proteome:UP000001488,593117,Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3),96ef8ea46bb123ef617487a484af65a8d923c422300da83587f6f81f0fda9019,395,"[94, 2560]",94,147.9,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
A0A1D8PJ01,target_fungi,proteome:UP000000559,237561,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),69e2833459ce219b2e38d37c8daf1cb6b854cc07f23ad038566496c0c0a46347,895,"[17, 2560]",17,13.49,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
P9WEP8,target_fungi,proteome:UP000000560,227321,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),2510176b2dd4994e899e06bc2902d1efbd077465f5a1ac237826c5e7d24bc1fb,204,"[39, 2560]",39,37.84,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
P49602,target_fungi,proteome:UP000000561,5270,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),547d33931ed020693e8be81d9c168672739cd9003832cb6ef33ed1dbe8e2d371,561,"[61, 2560]",61,85.5,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q750Q9,target_fungi,proteome:UP000000591,284811,Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii),20b15b3ad58e98a2022c52d8316f079f13659fb218ccf5c2d3d12177605c6f01,271,"[18, 2560]",18,13.56,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q6CQA6,target_fungi,proteome:UP000000598,284590,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica),ab64276e302973bfac7ada126f44aebdeedc4c44de677a7c1b9ffe76368d9f5b,271,"[16, 2560]",16,13.89,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q6BI59,target_fungi,proteome:UP000000599,284592,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii),9037a67f032b5c883a6801951f0ba46d9833df166011a91558512417f3f06238,274,"[14, 2560]",14,13.39,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
O96720,target_fungi,proteome:UP000000819,284813,Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite),851ba7b4d06341d5a3d029d8d0777d9987b8f6e6e0d98db78356c85b8efd5719,212,"[28, 2560]",28,21.0,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
