source_signature,row_count,taxonomy_group,source_resolution_level,source_species_normalized,source_organism_name,bacdive_status_closure,species_validation_status,candidate_rescue_status,raw_cache_files_seen,missing_cache_files,cache_record_count_total_before_species_filter,representative_bacdive_record_count,record_count_with_culture_collection,unique_culture_collection_count,has_any_culture_collection,type_strain_record_count,has_type_strain_record,culture_medium_record_count,unique_culture_medium_count,has_any_culture_medium,isolation_source_record_count,unique_isolation_source_count,has_any_isolation_source,country_record_count,unique_country_count,has_any_country,genome_accession_record_count,unique_genome_accession_count,has_any_genome_accession,inclusion_basis_counts,example_culture_collections,example_strain_designations,example_culture_media,example_isolation_sources
proteome:UP000001360,78,target_bacteria,proteome,bifidobacterium longum,Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,9,0,120,57,57,137,True,5,True,10,5,True,54,36,True,27,7,True,22,37,True,"{""base_binomial_match_or_subspecies"": 43, ""normalized_species_exact"": 14}",DSM 20088; ATCC 15697; NCTC 11817; JCM 1222; BCRC 14602; BCRC 15416; CCM 4990; CCUG 18368; CECT 4551; CGMCC 1.1853; CGMCC 1.2202; CIP 64.67; KCTC 3249; KCTC 3270; LMG 8811; NCFB 2205; NCDO 2205; LMG 32752; CCOS 2034; DSM 115839,"S12; NCC 5000; HUN014, AGR2137; WCA-178-WT-4B; S3; Su 851; SU859, SU 859; S76E; E194b (Variant a), E194b; C10-45",BIFIDOBACTERIUM MEDIUM (DSMZ Medium 58); MEDIUM 20 - for Anaerobic bacteria; CIP Medium 20; WILKINS-CHALGREN ANAEROBE BROTH (DSMZ Medium 339); CIP Medium 72,"intestine of infant; Intestine of infant; Human, Infant, intestine; Calf faeces; Pig feces"
proteome:UP000000746,364,target_bacteria,proteome,escherichia coli,Escherichia coli (strain 55989 / EAEC),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
taxon:585034|organism:escherichia coli o8 (strain iai1),366,target_bacteria,taxon_organism,escherichia coli,Escherichia coli O8 (strain IAI1),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000000747,362,target_bacteria,proteome,escherichia coli,Escherichia coli O45:K1 (strain S88 / ExPEC),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000000748,341,target_bacteria,proteome,escherichia coli,Escherichia coli O81 (strain ED1a),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000007097,368,target_bacteria,proteome,escherichia coli,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000000749,362,target_bacteria,proteome,escherichia coli,Escherichia coli O7:K1 (strain IAI39 / ExPEC),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000008205,336,target_bacteria,proteome,escherichia coli,Escherichia coli O127:H6 (strain E2348/69 / EPEC),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000001599,279,target_bacteria,proteome,salmonella enterica,Salmonella paratyphi C (strain RKS4594),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,376,True,6,True,199,18,True,57,42,True,70,21,True,28,83,True,"{""base_binomial_match_or_subspecies"": 46, ""normalized_species_exact"": 154}",CIP 55.38; NCTC 8386; CIP 107479; CCUG 46434; CIP 55.29; CIP 55.28; NCTC 7309; CIP 55.27; NCTC 7299; CIP 55.26; NCTC 7315; CIP 55.24; CIP 55.23; NCTC 7303; CIP 55.21; NCTC 7332; CIP 107125; CIP 54.143; CIP 54.140; CIP 54.139,"82K; 91K; 585K; 61; 19, M73; 13, M50; 69K; LT2; C52; S-6; Eastafrica; TA1538; 254; I137; M327, 71; 88, M453; 87, M452; M439, 86; M248, 58; M244, 57",MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 29- Brain heart agar,"Human, Faeces; Poult, intestine; Gopher snake, lung; Dried egg powder; Turkey, conjunctivitis"
proteome:UP000000656,138,target_bacteria,proteome,leptospira borgpetersenii,Leptospira borgpetersenii serovar Hardjo-bovis (strain JB197),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,106,53,53,56,True,1,True,52,1,True,50,17,True,51,20,True,1,1,True,"{""normalized_species_exact"": 53}",CRBIP6.1486; CRBIP6.1470; CRBIP6.1469; CRBIP6.1452; CRBIP6.1449; CRBIP6.1446; CRBIP6.1444; CRBIP6.1438; CRBIP6.1435; CRBIP6.1431; CRBIP6.1413; CRBIP6.1410; CRBIP6.1404; Veldrat Batavia 46 (43292); CRBIP6.1400; CRBIP6.1399; CRBIP6.1391; CRBIP6.1390; CRBIP6.1389; CRBIP6.1378,"LEP1486, 114-2; LEP1470, Poi; LEP1469, Poi; LEP 1452; LEP1449, Piyasena; LEP1446, Arborea; LEP1444, Sponselee; LEP1438, Julu; LEP1435, Nona; LEP1431, Kibos; LEP1413, 78-082387; LEP 1410, Sorex Jalna; LEP1404; LEP 1400, 1627 Burgas (T78); LEP1399, Kibos; LEP 1391, RP 29; LEP 1390, L 100; LEP 1389, L 100; LEP 1378, Jules; LEP 1373, Bratislava",CIP Medium 189,"Human; Animal, Wood mouse; Animal, Bovine; Shrew; Animal, Field rat"
taxon:355276|organism:leptospira borgpetersenii serovar hardjo-bovis (strain l550),137,target_bacteria,taxon_organism,leptospira borgpetersenii,Leptospira borgpetersenii serovar Hardjo-bovis (strain L550),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,106,53,53,56,True,1,True,52,1,True,50,17,True,51,20,True,1,1,True,"{""normalized_species_exact"": 53}",CRBIP6.1486; CRBIP6.1470; CRBIP6.1469; CRBIP6.1452; CRBIP6.1449; CRBIP6.1446; CRBIP6.1444; CRBIP6.1438; CRBIP6.1435; CRBIP6.1431; CRBIP6.1413; CRBIP6.1410; CRBIP6.1404; Veldrat Batavia 46 (43292); CRBIP6.1400; CRBIP6.1399; CRBIP6.1391; CRBIP6.1390; CRBIP6.1389; CRBIP6.1378,"LEP1486, 114-2; LEP1470, Poi; LEP1469, Poi; LEP 1452; LEP1449, Piyasena; LEP1446, Arborea; LEP1444, Sponselee; LEP1438, Julu; LEP1435, Nona; LEP1431, Kibos; LEP1413, 78-082387; LEP 1410, Sorex Jalna; LEP1404; LEP 1400, 1627 Burgas (T78); LEP1399, Kibos; LEP 1391, RP 29; LEP 1390, L 100; LEP 1389, L 100; LEP 1378, Jules; LEP 1373, Bratislava",CIP Medium 189,"Human; Animal, Wood mouse; Animal, Bovine; Shrew; Animal, Field rat"
proteome:UP000009182,403,target_bacteria,proteome,escherichia coli,Escherichia coli O6:K15:H31 (strain 536 / UPEC),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000002402,116,target_bacteria,proteome,myxococcus xanthus,Myxococcus xanthus (strain DK1622),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,318,159,114,121,True,1,True,151,19,True,142,48,True,138,26,True,1,1,True,"{""normalized_species_exact"": 159}",DSM 52571; DSM 52570; DSM 52569; DSM 52568; DSM 52471; DSM 52470; DSM 52469; DSM 52468; DSM 52467; DSM 52466; DSM 52465; DSM 52464; DSM 52463; DSM 52462; DSM 52461; DSM 52460; DSM 52459; DSM 52458; DSM 52457; DSM 52456,Mx x87; Mx x86; Mx x84; Mx x96; Mx x97; Mx x98; Mx x99; Mx x90; Mx x60; Mx x13; Mx x31; Mx x139; Mx x138; Mx x137; Mx x136; Mx x134; Mx x131; Mx x130; Mx x142; Mx x141,VY/2 AGAR; CY-AGAR; TOLI AGAR; COLE AGAR; AMP AGAR,faeces of goat; soil; soil with plant residues; rotting peel of cocoa bean with little soil; faeces of sheep with little soil and plant residues
proteome:UP000001952,373,target_bacteria,proteome,escherichia coli,Escherichia coli (strain UTI89 / UPEC),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,423,True,0,False,83,19,True,10,13,True,4,3,True,18,53,True,"{""normalized_species_exact"": 200}",DSM 6215; ATCC 37371; DSM 6214; ATCC 39531; DSM 6213; ATCC 41036; DSM 6212; ATCC 37375; DSM 6202; ATCC 37032; DSM 6201; ATCC 35673; DSM 6197; ATCC 47019; DSM 6196; ATCC 47018; DSM 6189; ATCC 37064; CCRC 41300; DSM 6188,"pfdB2; K12 MC1000, MC1000; pHB-1; pfdA2; pSC101; K12 HB101 DB6507, DB6507, FD 27747, HB101 DB6507; K12 Q359, Q359; K12 Q358, Q358; YIP33; DP50; YEp24; YIp5; pSP65; K12 TG1, TG1; pBluescribe M13-, PC-V3046; PC-V3138, pYAC3; PC-V3058, pGEM-3Zf(-); PC-V3057, pGEM-3Zf(+); pBluescribe M13+, PC-V3045; pBGS8, PC-V3012",LB (Luria-Bertani) MEDIUM (DSMZ Medium 381); NUTRIENT AGAR (DSMZ Medium 1); Mineral medium M9 for E. coli JM strains (DSMZ Medium 382); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Canine; Animal, Canine; food; freshwater (river, lake, pond); faeces"
proteome:UP000007067,364,target_bacteria,proteome,shigella boydii,Shigella boydii serotype 4 (strain Sb227),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,78,39,39,66,True,1,True,32,6,True,11,6,True,9,9,True,6,9,True,"{""normalized_species_exact"": 39}",CIP 111949; CCUG 45096; CCUG 37893; CCUG 37892; CCUG 37891; CCUG 21261; CCUG 21249; CCUG 9564; NCTC 9357; CIP 58.24; CIP 58.23; ATCC 12033; NCTC 9772; CIP 58.4; CIP 52.53; NCTC 9332; CIP 52.51; NCTC 9330; CIP 51.3; CIP 51.4,"1693; 123; 592; M 279; PSH-125; Congo; 1296/7; 6917; 426/FA; type; 425; 55; 54125; A12; H 21582; Nil-2-c; D 27; 140/56, 5518/56; 703; 2770/51",CIP Medium 72; MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92),"Human, Stools; Human feces; Human faeces,contracted in Turkey; Human feces,44-yr-old man; Faeces"
proteome:UP000002716,350,target_bacteria,proteome,shigella dysenteriae,Shigella dysenteriae serotype 1 (strain Sd197),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,104,52,52,62,True,1,True,46,8,True,8,7,True,25,10,True,2,3,True,"{""normalized_species_exact"": 52}",CCUG 39701; CCUG 37889; CCUG 37888; CCUG 37887; CCUG 29414; CCUG 18713; CIP 106198; CIP 52.33; CIP 56.33; CIP 56.16; CIP 53.136; CIP 53.135; CIP 52.123; NCTC 9763; CIP 52.121; CIP 58.15; NCTC 9350; CIP 54.50; CIP 54.49; CIP 52.32,"41, M183; 120; 52287; 1768-53; 1046-50; 4388-50; 1012; 9D; Norwich; Bucarest R; Bagdad 57/46; Bucarest S; 4325; 1048-50; 6270; 41; 309; 588; 54268; 54921",MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 29- Brain heart agar,"Human feces; Human faeces; Human, Faeces; Feces; Human"
proteome:UP000006843,201,target_bacteria,proteome,pseudoalteromonas translucida,Pseudoalteromonas translucida (strain TAC 125),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,4,2,2,7,True,1,True,2,3,True,2,3,True,2,3,True,1,1,True,"{""normalized_species_exact"": 2}",CIP 108707; TAC 125; DSM 14402; ATCC BAA-315; KMM 520; LMG 19696; CIP 107731,,Marine agar (MA); CIP Medium 13; BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514),"Environment, Sea water; sea water; Environment, Seawater"
proteome:UP000002529,416,target_bacteria,proteome,shigella sonnei,Shigella sonnei (strain Ss046),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,54,27,27,38,True,1,True,16,8,True,14,8,True,15,6,True,2,4,True,"{""normalized_species_exact"": 27}",CCUG 63282; CCUG 46081; CCUG 42208; CCUG 37894; CCUG 35690; CCUG 34429; CCUG 26943; CCUG 26684; CCUG 26076; CCUG 19136; CCUG 9567; NCTC 9774; CIP 52.55; CIP 106204; CIP 67.63; CIP 106470; CIP 106347; CIP 106346; CIP 104223; ATCC 25931,"47, M200; 545/78; CNRSS 99 9901; CNRSS 99 9842; 1120-66; St9; Descamps; CNRSS 99 9844; Cabrera; 46; I virulent",MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 3 - Columbia agar; CIP Medium 3; CIP Medium 6,"Human blood; Human feces,diarrhoea; Human; Human feces; Human feces,30-yr-old man"
proteome:UP000000547,199,target_bacteria,proteome,colwellia psychrerythraea,Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,5,0,2,1,1,3,True,1,True,1,1,True,1,1,True,0,0,False,0,0,False,"{""normalized_species_exact"": 1}",DSM 8813; ATCC 27364; NRC 1004,,BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514),flounder eggs
proteome:UP000000538,379,target_bacteria,proteome,salmonella enterica,Salmonella choleraesuis (strain SC-B67),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,6,0,400,200,200,376,True,6,True,199,18,True,57,42,True,70,21,True,28,83,True,"{""base_binomial_match_or_subspecies"": 46, ""normalized_species_exact"": 154}",CIP 55.38; NCTC 8386; CIP 107479; CCUG 46434; CIP 55.29; CIP 55.28; NCTC 7309; CIP 55.27; NCTC 7299; CIP 55.26; NCTC 7315; CIP 55.24; CIP 55.23; NCTC 7303; CIP 55.21; NCTC 7332; CIP 107125; CIP 54.143; CIP 54.140; CIP 54.139,"82K; 91K; 585K; 61; 19, M73; 13, M50; 69K; LT2; C52; S-6; Eastafrica; TA1538; 254; I137; M327, 71; 88, M453; 87, M452; M439, 86; M248, 58; M244, 57",MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 29- Brain heart agar,"Human, Faeces; Poult, intestine; Gopher snake, lung; Dried egg powder; Turkey, conjunctivitis"
proteome:UP000000537,253,target_bacteria,proteome,aliivibrio fischeri,Aliivibrio fischeri (strain ATCC 700601 / ES114) (Vibrio fischeri),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,5,0,14,7,7,35,True,1,True,3,6,True,1,1,True,0,0,False,1,4,True,"{""normalized_species_exact"": 7}",CCUG 16314; CCUG 16313; CCUG 16312; CCUG 16309; ATCC 33983; DSM 7151; CIP 105356; NRRL B-11177; DSM 2168; ATCC 14546; CCM 216; NCMB 25; CIP 101047; CCUG 16311; LMG 4412; NCIMB 25; DSM 507; ATCC 7744; JCM 18803; NCMB 1281,395; 398,Marine agar (MA); CIP Medium 13; CIP Medium 72; SEA WATER AGAR (DSMZ Medium 246); BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514),Seawater
proteome:UP000008185,388,target_bacteria,proteome,salmonella enterica,Salmonella paratyphi A (strain ATCC 9150 / SARB42),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,7,0,400,200,200,376,True,6,True,199,18,True,57,42,True,70,21,True,28,83,True,"{""base_binomial_match_or_subspecies"": 46, ""normalized_species_exact"": 154}",CIP 55.38; NCTC 8386; CIP 107479; CCUG 46434; CIP 55.29; CIP 55.28; NCTC 7309; CIP 55.27; NCTC 7299; CIP 55.26; NCTC 7315; CIP 55.24; CIP 55.23; NCTC 7303; CIP 55.21; NCTC 7332; CIP 107125; CIP 54.143; CIP 54.140; CIP 54.139,"82K; 91K; 585K; 61; 19, M73; 13, M50; 69K; LT2; C52; S-6; Eastafrica; TA1538; 254; I137; M327, 71; 88, M453; 87, M452; M439, 86; M248, 58; M244, 57",MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 29- Brain heart agar,"Human, Faeces; Poult, intestine; Gopher snake, lung; Dried egg powder; Turkey, conjunctivitis"
proteome:UP000007037,183,target_bacteria,proteome,leptospira interrogans,Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,200,100,100,103,True,1,True,100,1,True,95,13,True,94,24,True,1,2,True,"{""normalized_species_exact"": 100}",CRBIP6.1487; CRBIP6.1485; CRBIP6.1481; CRBIP6.1475; CRBIP6.1471; CRBIP6.1459; CRBIP6.1442; CRBIP6.1432; CRBIP6.1429; CRBIP6.1427; CRBIP6.1426; CRBIP6.1425; CRBIP6.1420; CRBIP6.1417; CRBIP6.1415; CRBIP6.1414; CRBIP6.1409; CRBIP6.1401; CRBIP6.1398; CRBIP6.1397,"LEP1487, LT 63-68; LEP 1485, HK6; LEP1481, Andaman; LEP1475, Gurung; LEP1471, yamamoto; LEP1459, LT 1026; LEP1442, R 740; LEP1432, LT 65-68; LEP1429, LT 64-67; LEP 1427, Valbuzzi; LEP1426, LT 398; LEP1425, Biggs; LEP 1420, Szwajizak; LEP 1417, Robinson; LEP1415, Abraham; LEP 1414, Zanoni; LEP1409, Wijinberg; LEP 1401, H2; LEP1398, Biggs; LEP 1397, Szwajizak",CIP Medium 189,"Animal, Bandicoot; Human; Animal, Cow; Animal, Dog; Animal, Rat"
